episode,reward,steps,epsilon,success
288,1.0,10,0.23607350863684065,1
289,5.0,6,0.23489314109365644,1
290,3.0,8,0.23371867538818816,1
291,5.0,6,0.23255008201124722,1
292,4.0,7,0.231387331601191,1
293,5.0,6,0.23023039494318503,1
294,3.0,8,0.2290792429684691,1
295,5.0,6,0.22793384675362674,1
296,3.0,8,0.22679417751985861,1
297,3.0,8,0.22566020663225933,1
298,-7.0,9,0.22453190559909803,1
299,-8.0,10,0.22340924607110255,1
300,2.0,9,0.22229219984074702,1
301,4.0,7,0.2211807388415433,1
302,3.0,8,0.22007483514733558,1
303,3.0,8,0.2189744609715989,1
304,1.0,10,0.2178795886667409,1
305,5.0,6,0.2167901907234072,1
306,5.0,6,0.21570623976979014,1
307,5.0,6,0.21462770857094118,1
308,5.0,6,0.21355457002808648,1
309,-1.0,12,0.21248679717794605,1
310,5.0,6,0.21142436319205632,1
311,3.0,8,0.21036724137609603,1
312,5.0,6,0.20931540516921554,1
313,-10.0,12,0.20826882814336947,1
314,5.0,6,0.20722748400265262,1
315,5.0,6,0.20619134658263935,1
316,2.0,9,0.20516038984972615,1
317,-5.0,7,0.2041345879004775,1
318,5.0,6,0.2031139149609751,1
319,-5.0,7,0.20209834538617025,1
320,5.0,6,0.2010878536592394,1
321,3.0,8,0.2000824143909432,1
322,5.0,6,0.19908200231898848,1
323,2.0,9,0.19808659230739353,1
324,0.0,11,0.19709615934585656,1
325,-5.0,7,0.19611067854912728,1
326,3.0,8,0.19513012515638165,1
327,5.0,6,0.19415447453059972,1
328,4.0,7,0.19318370215794672,1
329,1.0,10,0.192217783647157,1
330,2.0,9,0.1912566947289212,1
331,3.0,8,0.1903004112552766,1
332,1.0,10,0.18934890919900021,1
333,5.0,6,0.18840216465300522,1
334,2.0,9,0.18746015382974018,1
335,5.0,6,0.1865228530605915,1
336,5.0,6,0.18559023879528855,1
337,-10.0,12,0.1846622876013121,1
338,4.0,7,0.18373897616330553,1
339,-16.0,9,0.182820281282489,1
340,5.0,6,0.18190617987607657,1
341,5.0,6,0.18099664897669618,1
342,-6.0,8,0.1800916657318127,1
343,3.0,8,0.17919120740315364,1
344,5.0,6,0.17829525136613786,1
345,5.0,6,0.17740377510930716,1
346,5.0,6,0.17651675623376062,1
347,5.0,6,0.1756341724525918,1
348,5.0,6,0.17475600159032884,1
349,5.0,6,0.17388222158237718,1
350,5.0,6,0.1730128104744653,1
351,5.0,6,0.17214774642209296,1
352,3.0,8,0.1712870076899825,1
353,4.0,7,0.17043057265153258,1
354,5.0,6,0.16957841978827493,1
355,-17.0,10,0.16873052768933355,1
356,5.0,6,0.1678868750508869,1
357,-5.0,7,0.16704744067563246,1
358,4.0,7,0.1662122034722543,1
359,5.0,6,0.16538114245489302,1
360,5.0,6,0.16455423674261854,1
361,5.0,6,0.16373146555890544,1
362,-5.0,7,0.16291280823111093,1
363,1.0,10,0.16209824418995536,1
364,5.0,6,0.16128775296900558,1
365,1.0,10,0.16048131420416054,1
366,2.0,9,0.15967890763313974,1
367,-6.0,8,0.15888051309497406,1
368,3.0,8,0.1580861105294992,1
